station name,Station Name Trimmed,Clean Stop Name,Line ID,Line Name,Station ID,stop_lat,stop_lon,rail_distance_from_union_miles,Subway,University_College,University_Nm,GO Station_Line,Park and Ride_Carpool,Terminal Station,Shopping Centre,Parent Station,City
 1| 3529|Zone 93,Zone 93,Zone 93,8,GO Bus,80587,,,NA,0,0,,-1,0,0,0,Zone 93,Whitby
 1| 3530|Zone 92,Zone 92,Zone 92,8,GO Bus,80588,,,NA,0,0,,-1,0,0,0,Zone 92,Ajax
 1| 3531|Zone 90,Zone 90,Zone 90,8,GO Bus,80589,43.80052802,-79.14374998,NA,0,0,,-1,0,0,0,Zone 90,Scarborough
 1| 3532|Zone 91,Zone 91,Zone 91,8,GO Bus,80590,43.80345703,-79.13564086,NA,0,0,,-1,0,0,0,Zone 91,Pickering
 1| 3533|Zone 91,Zone 91,Zone 91,8,GO Bus,80591,43.80345703,-79.13564086,NA,0,0,,-1,0,0,0,Zone 91,Pickering
 1| 3534|Zone 7,Zone 7,Zone 7,8,GO Bus,80592,43.78846846,-79.22789158,NA,0,0,,-1,0,0,0,Zone 7,Scarborough
 1| 3535|Zone 94,Zone 94,Zone 94,8,GO Bus,80593,,,NA,0,0,,-1,0,0,0,Zone 94,Oshawa
 1| 3536|Zone 51,Zone 51,Zone 51,8,GO Bus,80594,,,NA,0,0,,-1,0,0,0,Zone 51,Whitby
 1| 3537|Zone 87,Zone 87,Zone 87,8,GO Bus,80595,43.94099911,-79.01375929,NA,0,0,,-1,0,0,0,Zone 87,Ajax
 1| 3538|Zone 74,Zone 74,Zone 74,8,GO Bus,80596,43.94506777,-79.27791173,NA,0,0,,-1,0,0,0,Zone 74,Stouffville
 1| 3539|Zone 75,Zone 75,Zone 75,8,GO Bus,80597,,,NA,0,0,,-1,0,0,0,Zone 75,Goodwood
 1| 3540|Zone 72,Zone 72,Zone 72,8,GO Bus,80598,43.85406684,-79.25522601,NA,0,0,,-1,0,0,0,Zone 72,Markham
 1| 3541|Zone 73,Zone 73,Zone 73,8,GO Bus,80599,43.89572093,-79.26491682,NA,0,0,,-1,0,0,0,Zone 73,Markham
 1| 3542|Zone 71,Zone 71,Zone 71,8,GO Bus,80600,43.84098524,-79.35467524,NA,0,0,,-1,0,0,0,Zone 71,Markham
 1| 3543|Zone 72,Zone 72,Zone 72,8,GO Bus,80601,43.85406684,-79.25522601,NA,0,0,,-1,0,0,0,Zone 72,Markham
 1| 3546|Zone 64,Zone 64,Zone 64,8,GO Bus,80602,44.03195432,-79.41032405,NA,0,0,,-1,0,0,0,Zone 64,Newmarket
 1| 3548|Zone 63,Zone 63,Zone 63,8,GO Bus,80603,44.03192493,-79.41079905,NA,0,0,,-1,0,0,0,Zone 63,Aurora
 1| 3549|Zone 65,Zone 65,Zone 65,8,GO Bus,80604,44.12943948,-79.56863507,NA,0,0,,-1,0,0,0,Zone 65,Bradford
 1| 3551|Zone 64,Zone 64,Zone 64,8,GO Bus,80605,44.03195432,-79.41032405,NA,0,0,,-1,0,0,0,Zone 64,Newmarket
 1| 3554|Zone 60,Zone 60,Zone 60,8,GO Bus,80606,43.83995188,-79.36358528,NA,0,0,,-1,0,0,0,Zone 60,Richmond Hill
 1| 3555|Zone 5,Zone 5,Zone 5,8,GO Bus,80607,43.71639828,-79.50985844,NA,0,0,,-1,0,0,0,Zone 5,North York
 1| 3556|Zone 19,Zone 19,Zone 19,8,GO Bus,80608,,,NA,0,0,,-1,0,0,0,Zone 19,North York
 1| 3557|Zone 61,Zone 61,Zone 61,8,GO Bus,80609,43.87582922,-79.55557787,NA,0,0,,-1,0,0,0,Zone 61,Richmond Hill
 1| 3558|Zone 53,Zone 53,Zone 53,8,GO Bus,80610,,,NA,0,0,,-1,0,0,0,Zone 53,Kawartha Lakes
 1| 3559|Zone 55,Zone 55,Zone 55,8,GO Bus,80611,,,NA,0,0,,-1,0,0,0,Zone 55,Beaverton
 1| 3560|Zone 52,Zone 52,Zone 52,8,GO Bus,80612,,,NA,0,0,,-1,0,0,0,Zone 52,Port Perry
 1| 3561|Zone 54,Zone 54,Zone 54,8,GO Bus,80613,,,NA,0,0,,-1,0,0,0,Zone 54,Sunderland
 1| 3562|Zone 51,Zone 51,Zone 51,8,GO Bus,80614,,,NA,0,0,,-1,0,0,0,Zone 51,Whitby
 1| 3563|Zone 53,Zone 53,Zone 53,8,GO Bus,80615,,,NA,0,0,,-1,0,0,0,Zone 53,Kawartha Lakes
 1| 3564|Zone 93,Zone 93,Zone 93,8,GO Bus,80616,,,NA,0,0,,-1,0,0,0,Zone 93,Whitby
 1| 3565|Zone 52,Zone 52,Zone 52,8,GO Bus,80617,,,NA,0,0,,-1,0,0,0,Zone 52,Port Perry
 1| 3573|Zone 44,Zone 44,Zone 44,8,GO Bus,80618,,,NA,0,0,,-1,0,0,0,Zone 44,East Gwillimbury
 1| 3575|Zone 64,Zone 64,Zone 64,8,GO Bus,80619,44.03195432,-79.41032405,NA,0,0,,-1,0,0,0,Zone 64,Newmarket
 1| 3576|Zone 42,Zone 42,Zone 42,8,GO Bus,80620,43.90900967,-80.06253905,NA,0,0,,-1,0,0,0,Zone 42,Caledon
 1| 3577|Zone 38,Zone 38,Zone 38,8,GO Bus,80621,43.57957037,-80.18632094,NA,0,0,,-1,0,0,0,Zone 38,Rockwood
 1| 3578|Zone 36,Zone 36,Zone 36,8,GO Bus,80622,,,NA,0,0,,-1,0,0,0,Zone 36,Georgetown
 1| 3579|Zone 34,Zone 34,Zone 34,8,GO Bus,80623,43.64810229,-79.8510629,NA,0,0,,-1,0,0,0,Zone 34,Brampton
 1| 3580|Zone 36,Zone 36,Zone 36,8,GO Bus,80624,,,NA,0,0,,-1,0,0,0,Zone 36,Georgetown
 1| 3581|Zone 33,Zone 33,Zone 33,8,GO Bus,80625,,,NA,0,0,,-1,0,0,0,Zone 33,Brampton
 1| 3582|Zone 35,Zone 35,Zone 35,8,GO Bus,80626,43.65032409,-79.95099054,NA,0,0,,-1,0,0,0,Zone 35,Georgetown
 1| 3584|Zone 32,Zone 32,Zone 32,8,GO Bus,80627,43.71547924,-79.67565131,NA,0,0,,-1,0,0,0,Zone 32,Bramalea
 1| 3585|Zone 34,Zone 34,Zone 34,8,GO Bus,80628,43.64810229,-79.8510629,NA,0,0,,-1,0,0,0,Zone 34,Brampton
 1| 3586|Zone 31,Zone 31,Zone 31,8,GO Bus,80629,43.65470239,-79.56815685,NA,0,0,,-1,0,0,0,Zone 31,Mississauga
 1| 3587|Zone 33,Zone 33,Zone 33,8,GO Bus,80630,,,NA,0,0,,-1,0,0,0,Zone 33,Brampton
 1| 3588|Zone 32,Zone 32,Zone 32,8,GO Bus,80631,43.71547924,-79.67565131,NA,0,0,,-1,0,0,0,Zone 32,Bramalea
 1| 3589|Zone 4,Zone 4,Zone 4,8,GO Bus,80632,43.71080617,-79.54824005,NA,0,0,,-1,0,0,0,Zone 4,Etobicoke
 1| 3590|Zone 32,Zone 32,Zone 32,8,GO Bus,80633,43.71547924,-79.67565131,NA,0,0,,-1,0,0,0,Zone 32,Bramalea
 1| 3591|Zone 12,Zone 12,Zone 12,8,GO Bus,80634,,,NA,0,0,,-1,0,0,0,Zone 12,Mississauga
 1| 3592|Zone 60,Zone 60,Zone 60,8,GO Bus,80635,43.83995188,-79.36358528,NA,0,0,,-1,0,0,0,Zone 60,Richmond Hill
 1| 3593|Zone 16,Zone 16,Zone 16,8,GO Bus,80636,43.3288944,-79.84221047,NA,0,0,,-1,0,0,0,Zone 16,Burlington
 1| 3594|Zone 17,Zone 17,Zone 17,8,GO Bus,80637,43.28477795,-79.89555467,NA,0,0,,-1,0,0,0,Zone 17,Burlington
 1| 3596|Zone 14,Zone 14,Zone 14,8,GO Bus,80638,,,NA,0,0,,-1,0,0,0,Zone 14,Oakville
 1| 3598|Zone 11,Zone 11,Zone 11,8,GO Bus,80639,43.60129999,-79.56386109,NA,0,0,,-1,0,0,0,Zone 11,Mississauga
 1| 3599|Zone 13,Zone 13,Zone 13,8,GO Bus,80640,,,NA,0,0,,-1,0,0,0,Zone 13,Oakville
 1| 3600|Zone 20,Zone 20,Zone 20,8,GO Bus,80641,43.64695931,-79.64189401,NA,0,0,,-1,0,0,0,Zone 20,Mississauga
