Date,line_id,line_name,station_name,daily_total
2017-07-03,3,Kitchener,Acton GO,2
2017-07-04,3,Kitchener,Acton GO,98
2017-07-05,3,Kitchener,Acton GO,101
2017-07-06,3,Kitchener,Acton GO,93
2017-07-07,3,Kitchener,Acton GO,85
2017-07-08,3,Kitchener,Acton GO,3
2017-07-09,3,Kitchener,Acton GO,0
2017-07-10,3,Kitchener,Acton GO,102
2017-07-11,3,Kitchener,Acton GO,94
2017-07-12,3,Kitchener,Acton GO,109
2017-07-13,3,Kitchener,Acton GO,88
2017-07-14,3,Kitchener,Acton GO,83
2017-07-15,3,Kitchener,Acton GO,0
2017-07-16,3,Kitchener,Acton GO,0
2017-07-17,3,Kitchener,Acton GO,104
2017-07-18,3,Kitchener,Acton GO,97
2017-07-19,3,Kitchener,Acton GO,115
2017-07-20,3,Kitchener,Acton GO,93
2017-07-21,3,Kitchener,Acton GO,79
2017-07-22,3,Kitchener,Acton GO,2
2017-07-24,3,Kitchener,Acton GO,101
2017-07-25,3,Kitchener,Acton GO,96
2017-07-26,3,Kitchener,Acton GO,106
2017-07-27,3,Kitchener,Acton GO,110
2017-07-28,3,Kitchener,Acton GO,72
2017-07-29,3,Kitchener,Acton GO,4
2017-07-30,3,Kitchener,Acton GO,2
2017-07-31,3,Kitchener,Acton GO,83
2017-08-01,3,Kitchener,Acton GO,93
2017-08-02,3,Kitchener,Acton GO,96
2017-08-03,3,Kitchener,Acton GO,77
2017-08-04,3,Kitchener,Acton GO,59
2017-08-05,3,Kitchener,Acton GO,0
2017-08-06,3,Kitchener,Acton GO,2
2017-08-07,3,Kitchener,Acton GO,2
2017-08-08,3,Kitchener,Acton GO,102
2017-08-09,3,Kitchener,Acton GO,92
2017-08-10,3,Kitchener,Acton GO,78
2017-08-11,3,Kitchener,Acton GO,63
2017-08-12,3,Kitchener,Acton GO,2
2017-08-13,3,Kitchener,Acton GO,0
2017-08-14,3,Kitchener,Acton GO,91
2017-08-15,3,Kitchener,Acton GO,86
2017-08-16,3,Kitchener,Acton GO,99
2017-08-17,3,Kitchener,Acton GO,84
2017-08-18,3,Kitchener,Acton GO,78
2017-08-19,3,Kitchener,Acton GO,0
2017-08-20,3,Kitchener,Acton GO,4
2017-08-21,3,Kitchener,Acton GO,107
2017-08-22,3,Kitchener,Acton GO,106
2017-08-23,3,Kitchener,Acton GO,105
2017-08-24,3,Kitchener,Acton GO,87
2017-08-25,3,Kitchener,Acton GO,69
2017-08-26,3,Kitchener,Acton GO,0
2017-08-27,3,Kitchener,Acton GO,5
2017-08-28,3,Kitchener,Acton GO,79
2017-08-29,3,Kitchener,Acton GO,88
2017-08-30,3,Kitchener,Acton GO,100
2017-08-31,3,Kitchener,Acton GO,93
2017-09-01,3,Kitchener,Acton GO,74
2017-09-02,3,Kitchener,Acton GO,0
2017-09-04,3,Kitchener,Acton GO,0
2017-09-05,3,Kitchener,Acton GO,110
2017-09-06,3,Kitchener,Acton GO,121
2017-09-07,3,Kitchener,Acton GO,118
2017-09-08,3,Kitchener,Acton GO,81
2017-09-09,3,Kitchener,Acton GO,0
2017-09-10,3,Kitchener,Acton GO,0
2017-09-11,3,Kitchener,Acton GO,124
2017-09-12,3,Kitchener,Acton GO,125
2017-09-13,3,Kitchener,Acton GO,118
2017-09-14,3,Kitchener,Acton GO,106
2017-09-15,3,Kitchener,Acton GO,74
2017-09-16,3,Kitchener,Acton GO,0
2017-09-17,3,Kitchener,Acton GO,3
2017-09-18,3,Kitchener,Acton GO,125
2017-09-19,3,Kitchener,Acton GO,117
2017-09-20,3,Kitchener,Acton GO,113
2017-09-21,3,Kitchener,Acton GO,111
2017-09-22,3,Kitchener,Acton GO,89
2017-09-23,3,Kitchener,Acton GO,0
2017-09-24,3,Kitchener,Acton GO,0
2017-09-25,3,Kitchener,Acton GO,95
2017-09-26,3,Kitchener,Acton GO,108
2017-09-27,3,Kitchener,Acton GO,109
2017-09-28,3,Kitchener,Acton GO,127
2017-09-29,3,Kitchener,Acton GO,91
2017-09-30,3,Kitchener,Acton GO,0
2017-10-01,3,Kitchener,Acton GO,3
2017-10-02,3,Kitchener,Acton GO,122
2017-10-03,3,Kitchener,Acton GO,122
2017-10-04,3,Kitchener,Acton GO,109
2017-10-05,3,Kitchener,Acton GO,105
2017-10-06,3,Kitchener,Acton GO,85
2017-10-07,3,Kitchener,Acton GO,0
2017-10-08,3,Kitchener,Acton GO,4
2017-10-09,3,Kitchener,Acton GO,2
2017-10-10,3,Kitchener,Acton GO,130
2017-10-11,3,Kitchener,Acton GO,118
2017-10-12,3,Kitchener,Acton GO,103
2017-10-13,3,Kitchener,Acton GO,108
2017-10-14,3,Kitchener,Acton GO,0
2017-10-15,3,Kitchener,Acton GO,4
2017-10-16,3,Kitchener,Acton GO,101
2017-10-17,3,Kitchener,Acton GO,115
2017-10-18,3,Kitchener,Acton GO,114
2017-10-19,3,Kitchener,Acton GO,95
2017-10-20,3,Kitchener,Acton GO,75
2017-10-21,3,Kitchener,Acton GO,0
2017-10-22,3,Kitchener,Acton GO,2
2017-10-23,3,Kitchener,Acton GO,120
2017-10-24,3,Kitchener,Acton GO,97
2017-10-25,3,Kitchener,Acton GO,107
2017-10-26,3,Kitchener,Acton GO,101
2017-10-27,3,Kitchener,Acton GO,82
2017-10-28,3,Kitchener,Acton GO,5
2017-10-29,3,Kitchener,Acton GO,0
2017-10-30,3,Kitchener,Acton GO,118
2017-10-31,3,Kitchener,Acton GO,102
2017-11-01,3,Kitchener,Acton GO,122
2017-11-02,3,Kitchener,Acton GO,113
2017-11-03,3,Kitchener,Acton GO,82
2017-11-04,3,Kitchener,Acton GO,2
2017-11-05,3,Kitchener,Acton GO,2
2017-11-06,3,Kitchener,Acton GO,120
2017-11-07,3,Kitchener,Acton GO,109
2017-11-08,3,Kitchener,Acton GO,118
2017-11-09,3,Kitchener,Acton GO,108
2017-11-10,3,Kitchener,Acton GO,103
2017-11-11,3,Kitchener,Acton GO,0
2017-11-12,3,Kitchener,Acton GO,0
2017-11-13,3,Kitchener,Acton GO,91
2017-11-14,3,Kitchener,Acton GO,120
2017-11-15,3,Kitchener,Acton GO,100
2017-11-16,3,Kitchener,Acton GO,110
2017-11-17,3,Kitchener,Acton GO,96
2017-11-18,3,Kitchener,Acton GO,2
2017-11-19,3,Kitchener,Acton GO,0
2017-11-20,3,Kitchener,Acton GO,123
2017-11-21,3,Kitchener,Acton GO,118
2017-11-22,3,Kitchener,Acton GO,120
2017-11-23,3,Kitchener,Acton GO,94
2017-11-24,3,Kitchener,Acton GO,99
2017-11-25,3,Kitchener,Acton GO,0
2017-11-26,3,Kitchener,Acton GO,0
2017-11-27,3,Kitchener,Acton GO,118
2017-11-28,3,Kitchener,Acton GO,107
2017-11-29,3,Kitchener,Acton GO,126
2017-11-30,3,Kitchener,Acton GO,99
2017-12-01,3,Kitchener,Acton GO,94
2017-12-02,3,Kitchener,Acton GO,0
2017-12-03,3,Kitchener,Acton GO,0
2017-12-04,3,Kitchener,Acton GO,122
2017-12-05,3,Kitchener,Acton GO,118
2017-12-06,3,Kitchener,Acton GO,112
2017-12-07,3,Kitchener,Acton GO,103
2017-12-08,3,Kitchener,Acton GO,90
2017-12-11,3,Kitchener,Acton GO,121
2017-12-12,3,Kitchener,Acton GO,118
2017-12-13,3,Kitchener,Acton GO,120
2017-12-14,3,Kitchener,Acton GO,103
2017-12-15,3,Kitchener,Acton GO,82
2017-12-16,3,Kitchener,Acton GO,0
2017-12-18,3,Kitchener,Acton GO,103
2017-12-19,3,Kitchener,Acton GO,105
2017-12-20,3,Kitchener,Acton GO,94
2017-12-21,3,Kitchener,Acton GO,92
2017-12-22,3,Kitchener,Acton GO,69
2017-12-23,3,Kitchener,Acton GO,0
2017-12-24,3,Kitchener,Acton GO,4
2017-12-25,3,Kitchener,Acton GO,4
2017-12-26,3,Kitchener,Acton GO,0
2017-12-27,3,Kitchener,Acton GO,43
2017-12-28,3,Kitchener,Acton GO,45
2017-12-29,3,Kitchener,Acton GO,35
2017-12-30,3,Kitchener,Acton GO,0
2018-01-02,3,Kitchener,Acton GO,87
2018-01-03,3,Kitchener,Acton GO,107
2018-01-04,3,Kitchener,Acton GO,96
2018-01-05,3,Kitchener,Acton GO,83
2018-01-07,3,Kitchener,Acton GO,0
2018-01-08,3,Kitchener,Acton GO,114
2018-01-09,3,Kitchener,Acton GO,98
2018-01-10,3,Kitchener,Acton GO,114
2018-01-11,3,Kitchener,Acton GO,107
2018-01-12,3,Kitchener,Acton GO,95
2018-01-14,3,Kitchener,Acton GO,0
2018-01-15,3,Kitchener,Acton GO,112
2018-01-16,3,Kitchener,Acton GO,115
2018-01-17,3,Kitchener,Acton GO,109
2018-01-18,3,Kitchener,Acton GO,99
2018-01-19,3,Kitchener,Acton GO,103
2018-01-20,3,Kitchener,Acton GO,5
2018-01-22,3,Kitchener,Acton GO,116
2018-01-23,3,Kitchener,Acton GO,110
2018-01-24,3,Kitchener,Acton GO,110
2018-01-25,3,Kitchener,Acton GO,102
2018-01-26,3,Kitchener,Acton GO,90
2018-01-28,3,Kitchener,Acton GO,0
2018-01-29,3,Kitchener,Acton GO,100
2018-01-30,3,Kitchener,Acton GO,103
2018-01-31,3,Kitchener,Acton GO,95
2018-02-01,3,Kitchener,Acton GO,106
2018-02-02,3,Kitchener,Acton GO,91
2018-02-03,3,Kitchener,Acton GO,2
2018-02-04,3,Kitchener,Acton GO,0
2018-02-05,3,Kitchener,Acton GO,98
2018-02-06,3,Kitchener,Acton GO,95
2018-02-07,3,Kitchener,Acton GO,101
2018-02-08,3,Kitchener,Acton GO,88
2018-02-09,3,Kitchener,Acton GO,90
2018-02-11,3,Kitchener,Acton GO,2
2018-02-12,3,Kitchener,Acton GO,115
2018-02-13,3,Kitchener,Acton GO,109
2018-02-14,3,Kitchener,Acton GO,100
2018-02-15,3,Kitchener,Acton GO,104
2018-02-16,3,Kitchener,Acton GO,65
2018-02-17,3,Kitchener,Acton GO,0
2018-02-19,3,Kitchener,Acton GO,3
2018-02-20,3,Kitchener,Acton GO,121
2018-02-21,3,Kitchener,Acton GO,124
2018-02-22,3,Kitchener,Acton GO,111
2018-02-23,3,Kitchener,Acton GO,95
2018-02-24,3,Kitchener,Acton GO,2
2018-02-25,3,Kitchener,Acton GO,2
2018-02-26,3,Kitchener,Acton GO,126
2018-02-27,3,Kitchener,Acton GO,112
2018-02-28,3,Kitchener,Acton GO,110
2018-03-01,3,Kitchener,Acton GO,98
2018-03-02,3,Kitchener,Acton GO,86
2018-03-03,3,Kitchener,Acton GO,3
2018-03-05,3,Kitchener,Acton GO,122
2018-03-06,3,Kitchener,Acton GO,110
2018-03-07,3,Kitchener,Acton GO,128
2018-03-08,3,Kitchener,Acton GO,100
2018-03-09,3,Kitchener,Acton GO,84
2018-03-12,3,Kitchener,Acton GO,113
2018-03-13,3,Kitchener,Acton GO,113
2018-03-14,3,Kitchener,Acton GO,104
2018-03-15,3,Kitchener,Acton GO,95
2018-03-16,3,Kitchener,Acton GO,90
2018-03-17,3,Kitchener,Acton GO,2
2018-03-18,3,Kitchener,Acton GO,2
2018-03-19,3,Kitchener,Acton GO,120
2018-03-20,3,Kitchener,Acton GO,113
2018-03-21,3,Kitchener,Acton GO,121
