Date,daily_total
2018-01-14,24564
2018-01-15,221314
2018-01-16,226376
2018-01-17,220118
2018-01-18,220463
2018-01-19,203679
2018-01-20,31115
2018-01-21,16133
2018-01-22,219583
2018-01-23,219985
2018-01-24,215035
2018-01-25,215333
2018-01-26,203459
2018-01-27,27627
2018-01-28,22478
2018-01-29,219713
2018-01-30,220966
2018-01-31,226797
2018-02-01,219767
2018-02-02,200368
2018-02-03,28501
2018-02-04,23576
2018-02-05,217614
2018-02-06,223150
2018-02-07,217062
2018-02-08,220402
2018-02-09,199909
2018-02-10,36038
2018-02-11,20851
2018-02-12,220948
2018-02-13,221373
2018-02-14,222153
2018-02-15,216193
2018-02-16,190951
2018-02-17,38293
2018-02-18,29109
2018-02-19,29041
2018-02-20,219954
2018-02-21,214676
2018-02-22,218735
2018-02-23,201594
2018-02-24,40204
2018-02-25,24512
2018-02-26,218635
2018-02-27,225367
2018-02-28,216701
2018-03-01,220350
2018-03-02,195421
2018-03-03,41432
2018-03-04,23857
2018-03-05,219898
2018-03-06,223318
2018-03-07,225059
2018-03-08,217342
2018-03-09,202979
2018-03-10,37293
2018-03-11,24900
2018-03-12,204198
2018-03-13,210375
2018-03-14,209490
2018-03-15,205644
2018-03-16,185905
2018-03-17,44502
2018-03-18,29500
2018-03-19,218388
2018-03-20,224696
2018-03-21,222453
2018-03-22,219961
2018-03-23,202869
2018-03-24,34382
2018-03-25,24477
2018-03-26,224008
2018-03-27,224228
2018-03-28,227061
2018-03-29,231858
2018-03-30,46209
2018-03-31,43954
2018-04-01,32570
2018-04-02,175026
2018-04-03,230806
2018-04-04,225378
2018-04-05,217449
2018-04-06,201328
2018-04-07,33068
2018-04-08,23961
2018-04-09,215163
2018-04-10,219060
2018-04-11,218430
2018-04-12,215965
2018-04-13,202903
2018-04-14,37792
2018-04-15,19656
2018-04-16,164483
2018-04-17,232474
2018-04-18,220006
2018-04-19,220425
2018-04-20,202343
2018-04-21,35964
2018-04-22,25831
2018-04-23,225708
2018-04-24,224464
2018-04-25,228623
2018-04-26,224505
2018-04-27,207938
2018-04-28,52467
2018-04-29,34334
2018-04-30,211748
2018-05-01,219298
2018-05-02,217845
2018-05-03,219013
2018-05-04,200747
2018-05-05,37552
2018-05-06,24679
2018-05-07,212741
2018-05-08,226890
2018-05-09,230847
2018-05-10,223123
2018-05-11,207440
2018-05-12,51104
2018-05-13,40680
2018-05-14,217710
2018-05-15,220651
2018-05-16,223010
2018-05-17,223994
2018-05-18,194691
2018-05-19,40473
2018-05-20,36821
2018-05-21,24439
2018-05-22,218802
2018-05-23,227689
2018-05-24,229126
2018-05-25,209870
2018-05-26,35726
2018-05-27,28591
2018-05-28,218510
2018-05-29,232922
2018-05-30,227719
2018-05-31,245101
2018-06-01,214767
2018-06-02,37995
2018-06-03,31961
2018-06-04,216696
2018-06-05,232500
2018-06-06,230220
2018-06-07,227307
2018-06-08,209862
2018-06-09,49074
2018-06-10,35997
2018-06-11,221735
2018-06-12,236325
2018-06-13,235796
2018-06-14,231867
2018-06-15,205844
2018-06-16,58282
2018-06-17,39528
2018-06-18,224549
2018-06-19,234548
2018-06-20,235077
2018-06-21,222521
2018-06-22,207487
2018-06-23,46094
2018-06-24,37105
2018-06-25,220305
2018-06-26,226015
2018-06-27,219860
2018-06-28,218005
2018-06-29,192643
2018-06-30,50208
2018-07-01,46688
2018-07-02,38523
2018-07-03,214319
2018-07-04,220927
2018-07-05,217200
2018-07-06,205998
2018-07-07,59291
2018-07-08,37964
2018-07-09,213432
2018-07-10,224318
2018-07-11,223040
2018-07-12,238107
2018-07-13,210715
2018-07-14,49143
2018-07-15,43227
2018-07-16,211339
2018-07-17,234274
2018-07-18,224928
2018-07-19,228211
2018-07-20,205108
2018-07-21,60418
2018-07-22,47382
2018-07-23,217216
2018-07-24,229819
2018-07-25,234719
2018-07-26,220267
2018-07-27,196821
2018-07-28,55027
2018-07-29,30939
2018-07-30,210405
2018-07-31,216967
2018-08-01,216095
2018-08-02,224387
2018-08-03,188476
2018-08-04,76501
2018-08-05,35295
2018-08-06,25760
2018-08-07,213622
2018-08-08,217904
2018-08-09,211713
2018-08-10,198782
2018-08-11,59621
2018-08-12,48802
2018-08-13,208858
2018-08-14,216205
2018-08-15,220697
2018-08-16,220731
2018-08-17,194909
2018-08-18,74903
2018-08-19,45324
2018-08-20,226646
2018-08-21,211906
2018-08-22,230126
2018-08-23,231117
2018-08-24,208120
2018-08-25,71011
2018-08-26,57164
2018-08-27,214970
2018-08-28,228310
2018-08-29,223848
2018-08-30,249558
2018-08-31,212271
2018-09-01,96169
2018-09-02,59412
2018-09-03,44902
2018-09-04,216377
2018-09-05,237012
2018-09-06,236944
2018-09-07,217909
2018-09-08,44437
2018-09-09,30466
2018-09-10,227311
2018-09-11,238698
2018-09-12,236694
2018-09-13,234873
2018-09-14,218135
2018-09-15,43419
2018-09-16,23188
2018-09-17,231721
2018-09-18,238808
2018-09-19,237568
2018-09-20,243959
2018-09-21,223472
2018-09-22,42642
2018-09-23,32883
2018-09-24,238809
2018-09-25,242126
2018-09-26,244237
2018-09-27,238736
2018-09-28,227937
2018-09-29,45698
2018-09-30,28575
2018-10-01,230099
2018-10-02,234827
2018-10-03,240690
2018-10-04,238016
2018-10-05,202386
2018-10-06,41262
2018-10-07,27318
2018-10-08,28236
2018-10-09,233637
2018-10-10,231560
2018-10-11,232906
2018-10-12,211572
2018-10-13,28014
2018-10-14,21846
2018-10-15,237618
2018-10-16,244967
2018-10-17,240013
2018-10-18,238520
2018-10-19,216019
2018-10-20,37147
2018-10-21,22995
2018-10-22,229404
2018-10-23,235766
2018-10-24,239600
2018-10-25,232872
2018-10-26,217222
2018-10-27,33492
2018-10-28,24710
2018-10-29,237915
2018-10-30,243580
2018-10-31,227532
2018-11-01,241166
2018-11-02,216961
2018-11-03,45270
2018-11-04,31736
2018-11-05,238458
2018-11-06,240365
2018-11-07,234745
2018-11-08,235669
2018-11-09,215983
2018-11-10,40730
2018-11-11,27009
2018-11-12,164762
2018-11-13,236778
2018-11-14,246025
2018-11-15,240951
2018-11-16,201614
2018-11-17,32899
2018-11-18,34629
2018-11-19,239018
2018-11-20,238966
2018-11-21,240807
2018-11-22,230731
2018-11-23,206969
2018-11-24,34954
2018-11-25,25182
2018-11-26,234333
2018-11-27,237368
2018-11-28,241929
2018-11-29,238365
2018-11-30,213728
2018-12-01,30402
2018-12-02,24126
2018-12-03,230313
2018-12-04,232682
2018-12-05,236031
2018-12-06,232466
2018-12-07,204773
2018-12-08,40618
2018-12-09,26613
2018-12-10,222900
2018-12-11,229587
2018-12-12,229507
2018-12-13,220038
2018-12-14,201550
2018-12-15,38461
2018-12-16,25808
2018-12-17,217107
2018-12-18,219872
2018-12-19,217535
2018-12-20,210607
2018-12-21,176773
2018-12-22,43319
2018-12-23,34762
2018-12-24,71379
2018-12-25,14851
2018-12-26,27076
2018-12-27,98816
2018-12-28,96400
2018-12-29,35366
2018-12-30,27407
2018-12-31,68222
2019-01-01,21869
2019-01-02,167462
2019-01-03,183344
2019-01-04,163126
2019-01-05,32369
2019-01-06,22870
2019-01-07,233111
2019-01-08,234380
2019-01-09,231044
2019-01-10,228146
2019-01-11,217077
2019-01-12,33135
2019-01-13,18342
2019-01-14,238023
2019-01-15,237243
2019-01-16,233712
2019-01-17,235453
2019-01-18,212546
2019-01-19,38728
2019-01-20,26394
2019-01-21,199375
2019-01-22,235932
2019-01-23,234101
2019-01-24,233656
2019-01-25,213127
2019-01-26,31761
2019-01-27,22018
2019-01-28,222464
2019-01-29,153606
2019-01-30,227198
2019-01-31,217403
2019-02-01,207167
2019-02-02,33356
2019-02-03,24180
2019-02-04,230975
2019-02-05,232437
2019-02-06,209587
