Date,Year,Month,year_month,Day,Weekday,Holiday,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Monthly Mean Temp (°C),Delta Temp (°C),Total Precip (mm),Monthly Mean Precip (mm),Delta Precip (mm),Snow on Grnd (cm),Barrie Ridership,Kitchener Ridership,Lakeshore East Ridership,Lakeshore West Ridership,Milton Ridership,Richmond Hill Ridership,Stouffville Ridership,Union Station Ridership,Total GO Ridership,Outlier,Overall Mean,2SD_above,2SD_below
2017-03-22,2017,3,2017-03,22,Wednesday,False,-1.6,-8.3,-5.0,-0.2516129032258065,-4.748387096774193,0.0,2.335483870967742,-2.335483870967742,0.0,9859,13461,24567,31738,15661,5538,8569,93427,202820,False,227296.50331125828,254365.8101718576,200227.19645065896
2017-03-23,2017,3,2017-03,23,Thursday,False,2.2,-6.9,-2.4,-0.2516129032258065,-2.1483870967741936,0.0,2.335483870967742,-2.335483870967742,0.0,9819,13283,25680,33754,15609,5549,8735,95742,208171,False,224966.61589403974,253295.69627997148,196637.535508108
2017-03-24,2017,3,2017-03,24,Friday,False,12.4,1.3,6.9,-0.2516129032258065,7.151612903225807,6.7,2.335483870967742,4.364516129032259,0.5,8725,12435,23738,31746,14012,4915,7973,86855,190399,False,204211.9054054054,232457.9053204741,175965.90549033674
2017-03-25,2017,3,2017-03,25,Saturday,False,4.5,1.7,3.1,-0.2516129032258065,3.3516129032258064,7.1,2.335483870967742,4.764516129032257,0.0,802,397,5888,9314,149,0,186,10008,26744,False,45352.333333333336,73886.65646862905,16818.010198037613
2017-03-26,2017,3,2017-03,26,Sunday,False,6.6,1.1,3.9,-0.2516129032258065,4.151612903225806,2.4,2.335483870967742,0.06451612903225801,0.0,746,373,4173,6673,122,0,136,6691,18914,False,32455.370860927153,53039.51923403652,11871.222487817791
2017-03-27,2017,3,2017-03,27,Monday,False,14.7,6.4,10.6,-0.2516129032258065,10.851612903225806,1.5,2.335483870967742,-0.8354838709677419,0.0,10149,13548,24916,33173,15823,5714,8608,95245,207176,False,219741.3409090909,261398.51874083583,178084.163077346
2017-03-28,2017,3,2017-03,28,Tuesday,False,10.8,4.1,7.5,-0.2516129032258065,7.751612903225807,0.0,2.335483870967742,-2.335483870967742,0.0,10185,13925,25896,33762,16030,5715,8744,97467,211724,False,226142.08666666667,260553.15572545084,191731.0176078825
2017-03-29,2017,3,2017-03,29,Wednesday,False,9.1,3.7,6.4,-0.2516129032258065,6.651612903225807,0.0,2.335483870967742,-2.335483870967742,0.0,10045,13679,25883,34314,15850,5628,8723,96317,210439,False,227296.50331125828,254365.8101718576,200227.19645065896
2017-03-30,2017,3,2017-03,30,Thursday,False,3.8,0.7,2.3,-0.2516129032258065,2.551612903225806,10.6,2.335483870967742,8.264516129032257,0.0,9867,13558,25264,33592,15659,5665,8612,94577,206794,False,224966.61589403974,253295.69627997148,196637.535508108
2017-03-31,2017,3,2017-03,31,Friday,False,4.1,1.8,3.0,-0.2516129032258065,3.2516129032258063,10.1,2.335483870967742,7.764516129032257,0.0,8889,12399,25474,39914,14096,4969,7847,89241,202829,False,204211.9054054054,232457.9053204741,175965.90549033674
2017-04-01,2017,4,2017-04,1,Saturday,False,11.3,2.2,6.8,9.336666666666668,-2.536666666666668,0.0,3.586666666666667,-3.586666666666667,0.0,998,421,6157,10630,179,0,233,10555,29173,False,45352.333333333336,73886.65646862905,16818.010198037613
2017-04-02,2017,4,2017-04,2,Sunday,False,16.7,3.8,10.3,9.336666666666668,0.9633333333333329,0.0,3.586666666666667,-3.586666666666667,0.0,845,409,5191,8735,161,0,133,9139,24613,False,32455.370860927153,53039.51923403652,11871.222487817791
2017-04-03,2017,4,2017-04,3,Monday,False,10.8,5.3,8.1,9.336666666666668,-1.2366666666666681,6.3,3.586666666666667,2.713333333333333,0.0,10174,13546,24999,33532,15730,5804,8684,96200,208669,False,219741.3409090909,261398.51874083583,178084.163077346
2017-04-04,2017,4,2017-04,4,Tuesday,False,10.4,5.0,7.7,9.336666666666668,-1.6366666666666676,11.3,3.586666666666667,7.713333333333334,0.0,9855,13484,25455,33209,15518,5678,8662,96529,208390,False,226142.08666666667,260553.15572545084,191731.0176078825
2017-04-05,2017,4,2017-04,5,Wednesday,False,9.2,5.0,7.1,9.336666666666668,-2.236666666666668,0.2,3.586666666666667,-3.3866666666666667,0.0,10118,13523,25335,32754,15717,5664,8631,95371,207113,False,227296.50331125828,254365.8101718576,200227.19645065896
2017-04-06,2017,4,2017-04,6,Thursday,False,7.5,1.4,4.5,9.336666666666668,-4.836666666666668,26.9,3.586666666666667,23.313333333333333,0.0,9616,13247,25284,33161,15415,5502,8473,94333,205031,False,224966.61589403974,253295.69627997148,196637.535508108
2017-04-07,2017,4,2017-04,7,Friday,False,5.2,0.1,2.7,9.336666666666668,-6.636666666666668,1.2,3.586666666666667,-2.3866666666666667,0.0,8463,12253,23716,32106,13893,4802,7738,86417,189388,False,204211.9054054054,232457.9053204741,175965.90549033674
2017-04-08,2017,4,2017-04,8,Saturday,False,12.2,0.8,6.5,9.336666666666668,-2.836666666666668,0.2,3.586666666666667,-3.3866666666666667,0.0,1164,566,8288,16787,294,0,304,13959,41362,False,45352.333333333336,73886.65646862905,16818.010198037613
2017-04-09,2017,4,2017-04,9,Sunday,False,18.0,4.8,11.4,9.336666666666668,2.0633333333333326,0.0,3.586666666666667,-3.586666666666667,0.0,879,417,5077,8681,120,0,159,9467,24800,False,32455.370860927153,53039.51923403652,11871.222487817791
2017-04-10,2017,4,2017-04,10,Monday,False,22.0,11.8,16.9,9.336666666666668,7.563333333333331,1.4,3.586666666666667,-2.186666666666667,0.0,9816,13525,24952,33794,15627,5661,8589,95525,207489,False,219741.3409090909,261398.51874083583,178084.163077346
2017-04-11,2017,4,2017-04,11,Tuesday,False,4.4,11.3,3.3,9.336666666666668,-6.036666666666668,0.9,3.586666666666667,-2.686666666666667,0.0,9775,13980,28127,39071,15914,5705,8710,102841,224123,False,226142.08666666667,260553.15572545084,191731.0176078825
2017-04-12,2017,4,2017-04,12,Wednesday,False,9.5,3.4,6.5,9.336666666666668,-2.836666666666668,0.0,3.586666666666667,-3.586666666666667,0.0,9779,13652,25975,34938,15435,5554,8486,97495,211314,False,227296.50331125828,254365.8101718576,200227.19645065896
2017-04-13,2017,4,2017-04,13,Thursday,False,12.1,2.4,7.3,9.336666666666668,-2.036666666666668,0.0,3.586666666666667,-3.586666666666667,0.0,9237,12892,25756,35391,14328,5237,8018,92975,203834,False,224966.61589403974,253295.69627997148,196637.535508108
2017-04-14,2017,4,2017-04,14,Friday,True,14.9,6.3,10.6,9.336666666666668,1.2633333333333319,0.0,3.586666666666667,-3.586666666666667,0.0,1001,542,7050,11698,213,0,270,15725,36499,False,,,
2017-04-15,2017,4,2017-04,15,Saturday,False,16.4,5.5,11.0,9.336666666666668,1.6633333333333322,3.7,3.586666666666667,0.11333333333333329,0.0,1234,546,7549,12838,243,0,277,16663,39350,False,45352.333333333336,73886.65646862905,16818.010198037613
2017-04-16,2017,4,2017-04,16,Sunday,False,22.3,10.9,16.6,9.336666666666668,7.263333333333334,0.0,3.586666666666667,-3.586666666666667,0.0,1287,488,7184,11209,215,0,224,11685,32292,False,32455.370860927153,53039.51923403652,11871.222487817791
2017-04-17,2017,4,2017-04,17,Monday,False,13.5,2.5,8.0,9.336666666666668,-1.3366666666666678,0.0,3.586666666666667,-3.586666666666667,0.0,7418,8072,19524,28049,11529,4278,6604,71524,156998,True,219741.3409090909,261398.51874083583,178084.163077346
2017-04-18,2017,4,2017-04,18,Tuesday,False,8.3,1.8,5.1,9.336666666666668,-4.236666666666668,0.0,3.586666666666667,-3.586666666666667,0.0,10055,13845,26516,36471,15862,5678,8598,98924,215949,False,226142.08666666667,260553.15572545084,191731.0176078825
2017-04-19,2017,4,2017-04,19,Wednesday,False,19.8,5.4,12.6,9.336666666666668,3.263333333333332,1.2,3.586666666666667,-2.3866666666666667,0.0,9806,13613,26926,37474,15497,5600,8444,99844,217204,False,227296.50331125828,254365.8101718576,200227.19645065896
2017-04-20,2017,4,2017-04,20,Thursday,False,10.0,4.6,7.3,9.336666666666668,-2.036666666666668,23.3,3.586666666666667,19.713333333333335,0.0,9793,13559,26090,34896,15628,5592,8475,97212,211245,False,224966.61589403974,253295.69627997148,196637.535508108
2017-04-21,2017,4,2017-04,21,Friday,False,14.0,6.0,10.0,9.336666666666668,0.6633333333333322,0.0,3.586666666666667,-3.586666666666667,0.0,8866,12384,25128,38037,14105,4951,7658,88230,199359,False,204211.9054054054,232457.9053204741,175965.90549033674
2017-04-22,2017,4,2017-04,22,Saturday,False,13.8,5.2,9.5,9.336666666666668,0.16333333333333222,0.0,3.586666666666667,-3.586666666666667,0.0,359,503,6375,10343,243,0,222,10884,28929,False,45352.333333333336,73886.65646862905,16818.010198037613
2017-04-23,2017,4,2017-04,23,Sunday,False,18.4,4.8,11.6,9.336666666666668,2.263333333333332,0.0,3.586666666666667,-3.586666666666667,0.0,376,448,6063,10275,173,0,202,11356,28893,False,32455.370860927153,53039.51923403652,11871.222487817791
2017-04-24,2017,4,2017-04,24,Monday,False,11.0,6.9,9.0,9.336666666666668,-0.3366666666666678,0.0,3.586666666666667,-3.586666666666667,0.0,9765,13210,24740,33203,15202,5650,8608,94254,204632,False,219741.3409090909,261398.51874083583,178084.163077346
2017-04-25,2017,4,2017-04,25,Tuesday,False,10.9,5.1,8.0,9.336666666666668,-1.3366666666666678,4.2,3.586666666666667,0.6133333333333333,0.0,9608,12864,24311,31772,15150,5602,8413,93207,200927,False,226142.08666666667,260553.15572545084,191731.0176078825
2017-04-26,2017,4,2017-04,26,Wednesday,False,15.2,9.4,12.3,9.336666666666668,2.963333333333333,0.0,3.586666666666667,-3.586666666666667,0.0,9504,13158,25002,33446,15067,5498,8287,92988,202950,False,227296.50331125828,254365.8101718576,200227.19645065896
2017-04-27,2017,4,2017-04,27,Thursday,False,25.4,10.4,17.9,9.336666666666668,8.56333333333333,8.8,3.586666666666667,5.213333333333334,0.0,9440,12845,24536,32682,14817,5532,8258,91734,199844,False,224966.61589403974,253295.69627997148,196637.535508108
2017-04-28,2017,4,2017-04,28,Friday,False,17.7,10.4,14.1,9.336666666666668,4.763333333333332,0.0,3.586666666666667,-3.586666666666667,0.0,8666,12255,26351,40444,13474,4894,7651,88871,202606,False,204211.9054054054,232457.9053204741,175965.90549033674
2017-04-29,2017,4,2017-04,29,Saturday,False,15.3,7.3,11.3,9.336666666666668,1.963333333333333,0.0,3.586666666666667,-3.586666666666667,0.0,1394,697,8066,13510,305,0,397,16566,40935,False,45352.333333333336,73886.65646862905,16818.010198037613
2017-04-30,2017,4,2017-04,30,Sunday,False,8.6,3.6,6.1,9.336666666666668,-3.236666666666668,18.0,3.586666666666667,14.413333333333334,0.0,1077,414,6225,10276,191,0,210,13185,31578,False,32455.370860927153,53039.51923403652,11871.222487817791
2017-05-01,2017,5,2017-05,1,Monday,False,14.1,5.0,9.6,12.506451612903227,-2.9064516129032274,23.3,5.264516129032257,18.035483870967745,0.0,9637,12627,23719,31222,15123,5665,8395,91819,198207,False,219741.3409090909,261398.51874083583,178084.163077346
2017-05-02,2017,5,2017-05,2,Tuesday,False,10.8,7.0,8.9,12.506451612903227,-3.6064516129032267,0.7,5.264516129032257,-4.564516129032257,0.0,9676,12820,24280,32631,15407,5748,8455,93773,202790,False,226142.08666666667,260553.15572545084,191731.0176078825
2017-05-03,2017,5,2017-05,3,Wednesday,False,15.7,5.0,10.4,12.506451612903227,-2.1064516129032267,0.0,5.264516129032257,-5.264516129032257,0.0,9678,13112,25981,39119,15341,5660,8300,95434,212625,False,227296.50331125828,254365.8101718576,200227.19645065896
2017-05-04,2017,5,2017-05,4,Thursday,False,10.4,6.1,8.3,12.506451612903227,-4.206451612903226,21.9,5.264516129032257,16.63548387096774,0.0,9654,13016,25098,33643,15331,5648,8379,94442,205211,False,224966.61589403974,253295.69627997148,196637.535508108
2017-05-05,2017,5,2017-05,5,Friday,False,9.9,6.7,8.3,12.506451612903227,-4.206451612903226,29.9,5.264516129032257,24.63548387096774,0.0,8638,11894,23553,32709,13541,4681,7733,86245,188994,False,204211.9054054054,232457.9053204741,175965.90549033674
2017-05-06,2017,5,2017-05,6,Saturday,False,9.0,5.6,7.3,12.506451612903227,-5.206451612903227,0.7,5.264516129032257,-4.564516129032257,0.0,459,487,6169,10048,214,0,261,10569,28207,False,45352.333333333336,73886.65646862905,16818.010198037613
2017-05-07,2017,5,2017-05,7,Sunday,False,12.1,4.1,8.1,12.506451612903227,-4.406451612903227,0.0,5.264516129032257,-5.264516129032257,0.0,333,444,5195,9071,158,0,193,9247,24641,False,32455.370860927153,53039.51923403652,11871.222487817791
2017-05-08,2017,5,2017-05,8,Monday,False,12.8,3.0,7.9,12.506451612903227,-4.606451612903227,0.0,5.264516129032257,-5.264516129032257,0.0,9780,13124,25784,35324,15366,5686,8570,97147,210781,False,219741.3409090909,261398.51874083583,178084.163077346
2017-05-09,2017,5,2017-05,9,Tuesday,False,11.1,5.3,8.2,12.506451612903227,-4.306451612903228,0.0,5.264516129032257,-5.264516129032257,0.0,9958,13309,26370,36347,15501,5832,8469,98190,213976,False,226142.08666666667,260553.15572545084,191731.0176078825
2017-05-10,2017,5,2017-05,10,Wednesday,False,10.5,5.0,7.8,12.506451612903227,-4.706451612903227,0.0,5.264516129032257,-5.264516129032257,0.0,9716,13358,26157,36223,15521,5634,8454,97293,212356,False,227296.50331125828,254365.8101718576,200227.19645065896
2017-05-11,2017,5,2017-05,11,Thursday,False,13.7,7.3,10.5,12.506451612903227,-2.006451612903227,0.0,5.264516129032257,-5.264516129032257,0.0,9540,13249,25601,34979,15335,5644,8302,95007,207657,False,224966.61589403974,253295.69627997148,196637.535508108
2017-05-12,2017,5,2017-05,12,Friday,False,13.7,7.6,10.7,12.506451612903227,-1.8064516129032278,0.0,5.264516129032257,-5.264516129032257,0.0,8579,12091,24844,34797,13581,5006,7643,88916,195457,False,204211.9054054054,232457.9053204741,175965.90549033674
2017-05-13,2017,5,2017-05,13,Saturday,False,16.8,9.4,13.1,12.506451612903227,0.5935483870967726,0.6,5.264516129032257,-4.664516129032258,0.0,1397,653,9670,20506,278,0,294,19647,52445,False,45352.333333333336,73886.65646862905,16818.010198037613
2017-05-14,2017,5,2017-05,14,Sunday,False,18.4,7.4,12.9,12.506451612903227,0.3935483870967733,0.0,5.264516129032257,-5.264516129032257,0.0,1274,530,7547,13229,194,0,208,14720,37702,False,32455.370860927153,53039.51923403652,11871.222487817791
2017-05-15,2017,5,2017-05,15,Monday,False,19.6,8.1,13.9,12.506451612903227,1.3935483870967733,0.0,5.264516129032257,-5.264516129032257,0.0,9889,12859,25810,36050,15622,5655,8592,96457,210934,False,219741.3409090909,261398.51874083583,178084.163077346
2017-05-16,2017,5,2017-05,16,Tuesday,False,16.3,10.5,13.4,12.506451612903227,0.8935483870967733,0.0,5.264516129032257,-5.264516129032257,0.0,10052,13660,26777,36661,15700,5726,8649,99888,217113,False,226142.08666666667,260553.15572545084,191731.0176078825
2017-05-17,2017,5,2017-05,17,Wednesday,False,29.9,10.6,20.3,12.506451612903227,7.793548387096774,0.0,5.264516129032257,-5.264516129032257,0.0,9674,13130,25100,33481,15480,5486,8336,94235,204922,False,227296.50331125828,254365.8101718576,200227.19645065896
2017-05-18,2017,5,2017-05,18,Thursday,False,15.9,18.4,12.3,12.506451612903227,-0.20645161290322633,0.0,5.264516129032257,-5.264516129032257,0.0,9534,12961,24717,33209,15229,5523,8261,92751,202185,False,224966.61589403974,253295.69627997148,196637.535508108
2017-05-19,2017,5,2017-05,19,Friday,False,18.9,9.3,14.1,12.506451612903227,1.5935483870967726,0.0,5.264516129032257,-5.264516129032257,0.0,7668,10915,21668,28695,12097,4395,6858,75992,168288,True,204211.9054054054,232457.9053204741,175965.90549033674
2017-05-20,2017,5,2017-05,20,Saturday,False,15.3,8.2,11.8,12.506451612903227,-0.7064516129032263,0.0,5.264516129032257,-5.264516129032257,0.0,1062,527,5714,10574,232,0,309,10813,29231,False,45352.333333333336,73886.65646862905,16818.010198037613
2017-05-21,2017,5,2017-05,21,Sunday,False,13.7,9.6,11.7,12.506451612903227,-0.8064516129032278,13.7,5.264516129032257,8.435483870967742,0.0,655,316,3484,6337,139,0,137,6603,17671,False,32455.370860927153,53039.51923403652,11871.222487817791
2017-05-22,2017,5,2017-05,22,Monday,True,16.8,10.6,13.7,12.506451612903227,1.1935483870967722,5.9,5.264516129032257,0.6354838709677431,0.0,1070,440,4689,8363,201,0,188,6979,21930,False,,,
2017-05-23,2017,5,2017-05,23,Tuesday,False,21.8,11.2,18.7,12.506451612903227,6.193548387096772,0.0,5.264516129032257,-5.264516129032257,0.0,9827,13104,24260,33010,15341,5578,8278,92216,201614,False,226142.08666666667,260553.15572545084,191731.0176078825
2017-05-24,2017,5,2017-05,24,Wednesday,False,21.6,14.0,17.8,12.506451612903227,5.293548387096774,0.0,5.264516129032257,-5.264516129032257,0.0,9688,13155,25050,33626,15724,5666,8435,94597,205941,False,227296.50331125828,254365.8101718576,200227.19645065896
2017-05-25,2017,5,2017-05,25,Thursday,False,14.8,10.2,12.5,12.506451612903227,-0.006451612903227044,52.9,5.264516129032257,47.63548387096774,0.0,9454,12627,23871,32036,14934,5392,8205,91521,198040,False,224966.61589403974,253295.69627997148,196637.535508108
2017-05-26,2017,5,2017-05,26,Friday,False,19.3,11.5,15.4,12.506451612903227,2.8935483870967733,3.3,5.264516129032257,-1.9645161290322575,0.0,8732,12486,27258,43340,13864,4859,7809,92506,210854,False,204211.9054054054,232457.9053204741,175965.90549033674
2017-05-27,2017,5,2017-05,27,Saturday,False,19.3,13.1,16.2,12.506451612903227,3.6935483870967722,0.0,5.264516129032257,-5.264516129032257,0.0,720,835,9771,17414,349,0,444,19654,49187,False,45352.333333333336,73886.65646862905,16818.010198037613
2017-05-28,2017,5,2017-05,28,Sunday,False,19.6,12.5,16.1,12.506451612903227,3.5935483870967744,0.0,5.264516129032257,-5.264516129032257,0.0,581,631,7311,13411,197,0,276,15837,38244,False,32455.370860927153,53039.51923403652,11871.222487817791
2017-05-29,2017,5,2017-05,29,Monday,False,14.9,14.7,12.9,12.506451612903227,0.3935483870967733,0.0,5.264516129032257,-5.264516129032257,0.0,9672,12877,25114,34122,15281,5581,8378,95058,206083,False,219741.3409090909,261398.51874083583,178084.163077346
2017-05-30,2017,5,2017-05,30,Tuesday,False,22.7,12.8,17.8,12.506451612903227,5.293548387096774,9.6,5.264516129032257,4.335483870967742,0.0,10009,13696,27837,40610,15800,5933,8763,101781,224429,False,226142.08666666667,260553.15572545084,191731.0176078825
2017-05-31,2017,5,2017-05,31,Wednesday,False,23.0,11.2,17.1,12.506451612903227,4.593548387096774,0.7,5.264516129032257,-4.564516129032257,0.0,9860,13451,27372,39697,15688,5782,8592,99991,220433,False,227296.50331125828,254365.8101718576,200227.19645065896
2017-06-01,2017,6,2017-06,1,Thursday,False,18.8,10.8,14.8,19.413333333333334,-4.613333333333333,0.0,2.723333333333334,-2.723333333333334,0.0,9718,13273,26624,36449,15517,5629,8463,97225,212898,False,224966.61589403974,253295.69627997148,196637.535508108
2017-06-02,2017,6,2017-06,2,Friday,False,20.8,9.6,15.2,19.413333333333334,-4.213333333333335,0.0,2.723333333333334,-2.723333333333334,0.0,8536,12167,27073,41044,13790,4888,7651,90111,205260,False,204211.9054054054,232457.9053204741,175965.90549033674
2017-06-03,2017,6,2017-06,3,Saturday,False,22.1,11.9,17.0,19.413333333333334,-2.413333333333334,0.0,2.723333333333334,-2.723333333333334,0.0,1671,706,8866,16583,289,0,420,17992,46527,False,45352.333333333336,73886.65646862905,16818.010198037613
2017-06-04,2017,6,2017-06,4,Sunday,False,17.5,11.5,14.5,19.413333333333334,-4.913333333333334,6.0,2.723333333333334,3.276666666666666,0.0,1535,551,7731,17690,213,0,217,17220,45157,False,32455.370860927153,53039.51923403652,11871.222487817791
2017-06-05,2017,6,2017-06,5,Monday,False,17.3,12.9,15.1,19.413333333333334,-4.313333333333334,0.0,2.723333333333334,-2.723333333333334,0.0,9870,12958,24117,32861,15748,5849,8552,94206,204161,False,219741.3409090909,261398.51874083583,178084.163077346
2017-06-06,2017,6,2017-06,6,Tuesday,False,17.4,11.6,14.5,19.413333333333334,-4.913333333333334,4.1,2.723333333333334,1.3766666666666656,0.0,9906,13444,25263,33390,16036,5851,8603,96681,209174,False,226142.08666666667,260553.15572545084,191731.0176078825
2017-06-07,2017,6,2017-06,7,Wednesday,False,25.5,13.2,19.4,19.413333333333334,-0.013333333333335418,0.0,2.723333333333334,-2.723333333333334,0.0,9898,13637,26695,36324,15816,5797,8703,98768,215638,False,227296.50331125828,254365.8101718576,200227.19645065896
2017-06-08,2017,6,2017-06,8,Thursday,False,23.7,11.8,17.8,19.413333333333334,-1.6133333333333333,0.0,2.723333333333334,-2.723333333333334,0.0,9743,13413,25853,35510,15661,5711,8554,95119,209564,False,224966.61589403974,253295.69627997148,196637.535508108
